"","Latitude","Longitude","cd1","cd2","cd3","wd1","wd2","wd3"
"2",19.9432,-64.5649,58102.96,22326.06438,2226.17,4.45,26.83,4.23
"3",20.2173,-64.3828,6639.79,573.26,1067.11,1.04,28.69,40.79
"4",20.4521,-64.1968,15246.71,11841.41,991.66,2.57,42.62,3503.27
"5",21.1293,-63.8333,5347.35,0,1420.39,1.15,12.86,4.26
"6",21.473,-63.5899,4090.58,766.52,409.06,0.48,29.63,4.36
"7",21.7367,-63.4227,44914.59,6731.74,33133.71,6.26,47.98,2051.84
"8",22.15,-63.1474,17324.82,64136.84,502.17,1.38,3.52,1.13
"9",22.8418,-62.7592,10467.48,102740.2808,413.19,1.24,33.9,15.84
"10",24.3576,-62.8129,7434.53,0,190.63,1.14,28.59,0.29
"11",24.3576,-62.8129,0,15797.43,704.84,0,8.96,13.59
"12",24.7657,-62.7221,377.59,17251.58,377.59,0.11,5.41,7.93
"13",25.3751,-62.4785,3126.56,3546.62,416.87,0.46,3.99,0.42
"14",25.5607,-62.4387,428395.48,13612.36,119370.62,15.62,837.83,25752.82
"15",26.0914,-61.7168,0,22192.57,351.88,0,4.52,8.45
"16",29.249,-62.9857,4682.38,155566.98,1560.79,0.61,86,105.82
"17",29.7453,-63.2167,3020.74,478350.99,3725.58,0.41,165.27,613.71
"18",30.5477,-63.7064,31985.11,1635.24,4991.9,8.1,778.18,599.95
"19",31.1813,-64.0147,1173.82,1006.3,1814.08,0.45,47.17,101.16
"20",31.535,-64.2677,9953.75,391199.87,2590.7,1.5,135.67,67.49
"21",31.9644,-64.5448,4082.42,2834.42,2776.04,0.65,154.97,1465.26
"22",32.32,-64.4322,6826,51728.14,4818.35,1.2,287.29,307.97
"23",32.079,-64.6316,0,74613.49,3272.47,0,449.15,175.08
"24",31.5865,-62.7727,2757.7,357243,811.09,0.45,209.89,50.94
"25",31.2001,-62.0368,0,14172.09,2134.22,0,109.54,90.92
"26",30.8735,-61.3126,5454.11,0,7032.93,1.18,505.72,701.43
"27",30.073,-58.7081,3346.84,57576.04,5454.11,0.47,187.16,193.5
"28",30.073,-58.7081,619.79,221.59,371.87,0.74,25.54,14.5
"29",29.6835,-56.6993,434.88,647.66,543.6,0.13,33.59,93.72
"30",29.5392,-54.9628,2727.05,0,2999.76,0.88,288.8,103.36
"31",29.2797,-53.6117,31002.3,503.15,1638.33,5.83,79.27,279.4
"32",28.907,-51.8931,2680.58,31770.67,1756.24,0.63,139.67,35.77
"33",28.7729,-51.0777,43126.42,0,4558.08,9.47,341.92,134.99
"34",28.5522,-50.1026,1431.7,30557.56,1636.23,0.78,268.53,205.55
"35",35.6729,-35.0237,3151.26,0,0,0.44,56.72,0
"36",36.2937,-33.3888,1163.54,20444.61,3781.52,0.23,154.54,214.24
"37",-23.4996,-39.2757,13612.36,0,2681.22,1.69,20.01,19.86
"38",-23.729,-37.4867,2142.69,38298.82,0,0.53,23.76,0
"39",-23.8868,-36.6933,1080.87,0,154.41,0.19,61.13,1.85
"40",-24.1104,-33.9573,17251.58,2271.17,1244.96,1.6,126.81,4.62
"41",-23.0308,-30.8532,8264.64,1645.11,0,0.93,104.94,0
"42",-22.297,-29.2472,1051.23,32704.83,1051.23,0.7,22.43,89
"43",-20.8268,-28.2509,1313.45,23981.43,0,0.04,10.95,0
"44",-19.7983,-27.3385,1868.85,62003.48,0,0.31,18.94,0
"45",-18.615,-26.1638,194.67,85587.56,0,0.02,1.95,0
"46",-17.887,-25.086,1816.8,0,0,1.09,0,0
"47",-16.9837,-23.7325,1968.85,434.88,0,0.16,2.26,0
"48",-16.2435,-22.5333,1006.3,709.11,335.43,0.07,3.22,4.51
"49",-13.9923,-20.739,0,6335.44,320.64,0,20.2,43.61
"50",-26.4261,-41.0363,0,20879.57,845.81,0,5.47,1.41
"51",-26.3881,-39.9167,363.39,724.62,1453.55,0.03,29,10.97
"52",-26.1893,-38.7646,503.15,2885.341799,503.15,0.25,11.22,25.84
"53",-26.131,-37.5873,0,70234.88121,540.28,0,31.74,57.16
"54",-25.9968,-36.4999,3400.01,0,485.72,0.31,51.56,40.53
"55",-25.8957,-35.3693,1962.29,4331.36,654.1,0.36,6.87,11.05
"56",-25.801,-34.2127,0,1431.7,0,0,84.96,0
"57",-25.9165,-35.0814,1206.33,0,4423.19,0.44,10.86,50.59
"58",-26.0782,-31.973,0,0,0,0,80.11,0
"59",-26.3129,-31.0914,1022.03,0,817.62,0.04,57.58,122.87
"60",-26.4893,-30.029,2289.34,0,654.1,1.99,78.03,28.29
"61",-26.7957,-29.097,473.98,20349.25,0,0.33,18.84,0
"62",-26.6971,-28.091,137.42,25126.88,549.66,0.12,18.36,115.29
"63",-27.3323,-26.8913,893.57,52575,446.79,0.22,52.72,27.48
"64",-27.8835,-25.8982,1514.11,4995.14,216.3,0.22,32.01,11.03
"65",-28.5773,-24.9763,268.07,4178.738309,804.22,0.03,21.71,143.42
"66",-29.5155,-24.6103,545.08,3126.56,0,0.05,47.69,0
"67",-29.9658,-23.4819,1054.99,0,527.5,0.21,54.33,41.67
"68",-30.6643,-22.6652,0,3126.56,817.62,0,34.07,73.04
"69",-31.2527,-21.7331,3270.48,1080.87,1189.27,0.24,60.56,111.49
"70",-31.8705,-20.748,837.73,19089.38,368.6,0.18,11.03,12.57
"71",-32.5913,-19.948,4769.45,50828.03,4769.45,1.36,271.59,334
"72",-33.4867,-19.0997,8687.22,5382.34,4088.1,0.72,328.63,134.91
"73",-34.0419,-18.1859,817.62,6450,817.62,0.49,292.79,9.81
"74",-34.6048,-17.1887,116236.4,151.33,17847.32,296.54,507.05,139.12
"75",-34.333,-15.9772,11290.95,0,4672.12,2.88,358.47,137.36
"76",-34.065,-14.785,13462.04,0,3167.54,4.91,371.95,38.6
"77",-33.5729,-13.7057,24543.49,80350.71,5360.07,4.23,160.24,26.8
"78",-33.2573,-12.4862,6813.51,20849.33,4996.57,1.14,39.15,334.09
"79",-32.9033,-11.3745,36419.37,0,527.82,7.92,368.94,16.89
"80",-32.607,-10.2,123897.43,74111.72,37759.22,21.24,106.2,118
"81",-32.3348,-9.2109,74613.49,1090.16,15637.56,19.97,329.95,1398.94
"82",-31.6387,-8.0787,49086.98,1045.21,10908.22,11.93,794.46,37.43
"83",-31.9295,-6.989,1855.89,15506.45,8042.17,0.19,31.49,184.97
"84",-32.278,-5.9515,65449.31,8654.04,11453.63,8.48,65.6,289.61
"85",-32.618,-4.8462,0,817.62,3406.75,0,110.58,83.19
"86",-32.835,-3.6837,1635.24,5347.35,8721.29,0.38,20.6,94.63
"87",-33.043,-2.4258,47450.75,0,6544.93,7.53,292.72,19.63
"88",-33.2157,-1.2692,3270.48,837.73,8176.21,0.65,341.44,17.33
